partitions,time,accuracy,orthogonality
2,0.18107366561889648,6.673705939807259e-16,1.4384411894962643e-15
4,0.1992497444152832,1.0764085269395582e-15,9.39080871461601e-16
8,0.2520575523376465,1.133603406315372e-15,1.2111066087874777e-15
12,0.325427770614624,5.791718034541023e-16,8.380420206320865e-16
20,0.3968806266784668,6.804615438964139e-16,5.184930933342476e-16
40,0.6910707950592041,5.180614120410214e-16,7.307083800958934e-16
120,1.8215112686157227,6.959324109152921e-16,1.1138010553798005e-15
