partitions,size,time,accuracy,orthogonality
10,0.25,0.675485372543335,2.0276555289343005e-15,4.72917507017766e-16
10,0.5,0.8955092430114746,2.6659138678508534e-15,9.752197029392468e-16
10,0.75,1.026388168334961,3.779511680293338e-15,4.600085591987293e-16
10,1.0,1.3758354187011719,3.3824789751021775e-15,9.749168030165698e-16
20,0.25,0.6487510204315186,1.478513694863116e-15,7.203182916549691e-16
20,0.5,0.8931570053100586,2.158139346174449e-15,8.607491974816682e-16
20,0.75,1.2244272232055664,2.7236055489319692e-15,7.285674880415842e-16
20,1.0,1.4302215576171875,2.6593212322592682e-15,5.217730675621086e-16
50,0.25,1.1380059719085693,9.217739601432237e-16,4.3070082200455303e-16
50,0.5,1.3695039749145508,1.4512856577811882e-15,8.673980662589729e-16
50,0.75,1.6227359771728516,1.5587822682568648e-15,7.112006235313692e-16
50,1.0,1.9077372550964355,1.7368467723489142e-15,6.757056723089967e-16
100,0.25,2.0050766468048096,7.445526884774804e-16,6.284500771644087e-16
100,0.5,2.2493386268615723,1.0506224746295247e-15,9.022117826421776e-16
100,0.75,2.556027412414551,1.3114241822165916e-15,8.007298910990106e-16
100,1.0,2.9510724544525146,1.3929197983098864e-15,6.663209132978715e-16
