partitions,size,time,accuracy,orthogonality
10,0.25,0.558889627456665,2.171267860339578e-15,8.960615579128548e-16
10,0.5,1.0152673721313477,2.7256352303132495e-15,5.563379902277954e-16
10,0.75,1.0255897045135498,2.795990265236698e-15,8.960616261698152e-16
10,1.0,1.1895885467529297,3.735333570171812e-15,1.3561047078557816e-15
20,0.25,0.5625009536743164,1.5812884544218657e-15,3.345236777061893e-16
20,0.5,0.8534960746765137,2.051134813941009e-15,1.048069965490395e-15
20,0.75,1.1311075687408447,2.4517700876106847e-15,8.60822020150848e-16
20,1.0,1.4727518558502197,2.8940843064494474e-15,7.535916146338162e-16
50,0.25,0.980647087097168,1.2059983789761122e-15,1.2996432507124131e-15
50,0.5,1.20951247215271,1.3586282576800954e-15,6.382023830969194e-16
50,0.75,1.6848492622375488,1.5440428803634426e-15,6.382755639781159e-16
50,1.0,1.8379011154174805,1.7135691461157766e-15,4.581530411724837e-16
100,0.25,1.643537998199463,8.383016391258033e-16,5.443635469880547e-16
100,0.5,2.012051582336426,9.921809365958647e-16,1.029651787195655e-15
100,0.75,2.263427972793579,1.2168650347993289e-15,6.475158466354542e-16
100,1.0,2.2808501720428467,1.3706194847037461e-15,7.110760725933375e-16
