partitions,size,time,accuracy,orthogonality
10,0.25,0.4143850803375244,1.896727131333866e-15,5.893646595420356e-16
10,0.5,0.5852384567260742,3.033120448621355e-15,7.713496989202563e-16
10,0.75,0.8834495544433594,2.6815515540842694e-15,9.939864741811995e-16
10,1.0,1.2258448600769043,4.091069408157836e-15,1.404944583749197e-15
20,0.25,0.5311856269836426,1.717948167105366e-15,6.761075978459481e-16
20,0.5,0.6968741416931152,1.935292960541907e-15,9.160077626684611e-16
20,0.75,0.9146034717559814,2.6174428432419557e-15,7.032128734917088e-16
20,1.0,1.2512719631195068,2.8646727502941126e-15,6.672248862200397e-16
50,0.25,0.8509423732757568,9.715504086220354e-16,9.933639895607474e-16
50,0.5,1.0650599002838135,1.3182777012395439e-15,1.0766384748302055e-15
50,0.75,1.2673156261444092,1.6028215644215989e-15,6.572203435165857e-16
50,1.0,1.5180165767669678,1.5731168913566248e-15,5.443625735104442e-16
100,0.25,1.4488983154296875,8.84277642431942e-16,4.447477165665387e-16
100,0.5,1.633101224899292,1.0988809142621982e-15,7.853109379936465e-16
100,0.75,2.1140666007995605,1.2018266017665979e-15,5.554436394606862e-16
100,1.0,2.205568313598633,1.4292205511355776e-15,9.08896334280105e-16
