partitions,time,accuracy,orthogonality
2,0.14818596839904785,6.673705939807259e-16,1.4384411894962643e-15
4,0.1696178913116455,1.0764085269395582e-15,9.39080871461601e-16
8,0.22510623931884766,1.133603406315372e-15,1.2111066087874777e-15
12,0.2511177062988281,5.791718034541023e-16,8.380420206320865e-16
20,0.34383201599121094,6.804615438964139e-16,5.184930933342476e-16
40,0.6475663185119629,5.180614120410214e-16,7.307083800958934e-16
120,1.6678473949432373,5.491664272715602e-16,8.000672743324696e-16
