partitions,size,time,accuracy,orthogonality
10,0.25,0.5365357398986816,1.980750778139779e-15,6.294609934675643e-16
10,0.5,0.7033841609954834,2.684958894058272e-15,6.389888250750709e-16
10,0.75,0.9528069496154785,3.444825010824791e-15,8.095146408344987e-16
10,1.0,1.3483288288116455,4.182440825980039e-15,8.823598602929856e-16
20,0.25,0.684807538986206,1.3853768643301504e-15,8.01331505193176e-16
20,0.5,0.8862977027893066,1.8709008505878543e-15,7.857556767481426e-16
20,0.75,1.2497966289520264,2.5037928793038814e-15,1.1703373615094553e-15
20,1.0,1.7403407096862793,2.717062954113568e-15,6.762304650252138e-16
50,0.25,1.0387134552001953,9.88206109678076e-16,6.084122363405646e-16
50,0.5,1.2126069068908691,1.3554052538078213e-15,5.776281012984395e-16
50,0.75,1.415982961654663,1.4997625623527988e-15,8.744297235126246e-16
50,1.0,1.9543671607971191,1.6736547014721308e-15,9.091162498136807e-16
100,0.25,1.8134722709655762,9.080092266201636e-16,9.680229387449475e-16
100,0.5,2.0503082275390625,1.0012613817048787e-15,8.883273443927162e-16
100,0.75,2.1832571029663086,1.2044709433163792e-15,8.309848082883011e-16
100,1.0,2.7563748359680176,1.4085444730084011e-15,7.613151875451632e-16
