partitions,size,time,accuracy,orthogonality
10,0.25,0.4464128017425537,2.417617196608669e-15,1.0004433176055052e-15
10,0.5,0.5699946880340576,2.3769486729188973e-15,5.897827166168542e-16
10,0.75,0.8436517715454102,3.049202757003187e-15,1.2017104808759193e-15
10,1.0,1.0291905403137207,3.893776165492908e-15,8.613576852831778e-16
20,0.25,0.5114419460296631,1.5080276490981348e-15,8.532946095675503e-16
20,0.5,0.7055442333221436,2.228161076872308e-15,5.884165833732786e-16
20,0.75,0.9515204429626465,2.58003420436285e-15,1.0299960256496075e-15
20,1.0,1.2207870483398438,2.666506779927367e-15,7.115034529717632e-16
50,0.25,0.9330954551696777,9.444694798804705e-16,7.282415666605534e-16
50,0.5,1.095822811126709,1.3150258560570509e-15,9.021585924043866e-16
50,0.75,1.2064907550811768,1.6871140537820528e-15,1.0879929021607216e-15
50,1.0,1.6897997856140137,1.6384617970944423e-15,7.113748945517702e-16
100,0.25,1.551145076751709,8.104286497897023e-16,6.381894115015195e-16
100,0.5,1.724536418914795,9.930942266833946e-16,9.743027299142074e-16
100,0.75,1.889296531677246,1.2411516082686217e-15,1.1958828552784366e-15
100,1.0,2.114001512527466,1.3611184812715363e-15,8.672898729477367e-16
