partitions,time,accuracy,orthogonality
2,0.15347719192504883,6.673705939807259e-16,1.4384411894962643e-15
4,0.16496849060058594,1.0764085269395582e-15,9.39080871461601e-16
8,0.21934819221496582,1.133603406315372e-15,1.2111066087874777e-15
12,0.25635576248168945,5.791718034541023e-16,8.380420206320865e-16
20,0.3507354259490967,6.804615438964139e-16,5.184930933342476e-16
40,0.5994319915771484,5.180614120410214e-16,7.307083800958934e-16
120,1.5454351902008057,5.491664272715602e-16,8.000672743324696e-16
