partitions,time,accuracy,orthogonality
2,0.6829566955566406,6.673705939807259e-16,1.4384411894962643e-15
4,0.17983031272888184,1.0764085269395582e-15,9.39080871461601e-16
8,0.25560545921325684,1.133603406315372e-15,1.2111066087874777e-15
12,0.3066251277923584,5.791718034541023e-16,8.380420206320865e-16
20,0.38537073135375977,6.804615438964139e-16,5.184930933342476e-16
40,0.7844409942626953,5.180614120410214e-16,7.307083800958934e-16
120,1.7964153289794922,6.959324109152921e-16,1.1138010553798005e-15
