partitions,time,accuracy,orthogonality
2,0.16361737251281738,6.673705939807259e-16,1.4384411894962643e-15
4,0.18108534812927246,1.0764085269395582e-15,9.39080871461601e-16
8,0.23542499542236328,1.133603406315372e-15,1.2111066087874777e-15
12,0.29681992530822754,5.791718034541023e-16,8.380420206320865e-16
20,0.3920285701751709,6.804615438964139e-16,5.184930933342476e-16
40,0.6030142307281494,5.180614120410214e-16,7.307083800958934e-16
120,1.474459171295166,6.959324109152921e-16,1.1138010553798005e-15
