size,time,accuracy,orthogonality
0.25,0.3003861904144287,1.0633559238288845e-14,3.725620813062487e-15
0.5,0.29034900665283203,1.0633559238288845e-14,3.725620813062487e-15
0.75,0.29741954803466797,1.0633559238288845e-14,3.725620813062487e-15
1.0,0.30019044876098633,1.0633559238288845e-14,3.725620813062487e-15
