partitions,size,time,accuracy,orthogonality
10,0.25,0.43443942070007324,1.980750778139779e-15,6.294609934675643e-16
10,0.5,0.6159853935241699,2.684958894058272e-15,6.389888250750709e-16
10,0.75,0.8131492137908936,3.444825010824791e-15,8.095146408344987e-16
10,1.0,1.1531116962432861,4.182440825980039e-15,8.823598602929856e-16
20,0.25,0.584026575088501,1.3853768643301504e-15,8.01331505193176e-16
20,0.5,0.712338924407959,1.8709008505878543e-15,7.857556767481426e-16
20,0.75,0.9419069290161133,2.5037928793038814e-15,1.1703373615094553e-15
20,1.0,1.288085699081421,2.717062954113568e-15,6.762304650252138e-16
50,0.25,1.0131471157073975,9.88206109678076e-16,6.084122363405646e-16
50,0.5,1.6274244785308838,1.3554052538078213e-15,5.776281012984395e-16
50,0.75,1.5762012004852295,1.4997625623527988e-15,8.744297235126246e-16
50,1.0,1.6702663898468018,1.6736547014721308e-15,9.091162498136807e-16
100,0.25,1.7056405544281006,9.080092266201636e-16,9.680229387449475e-16
100,0.5,1.7997815608978271,1.0012613817048787e-15,8.883273443927162e-16
100,0.75,2.1192800998687744,1.2044709433163792e-15,8.309848082883011e-16
100,1.0,2.420504570007324,1.4085444730084011e-15,7.613151875451632e-16
