partitions,size,time,accuracy,orthogonality
10,0.25,0.40125393867492676,2.006826402210654e-15,5.677726070575236e-16
10,0.5,0.6212363243103027,2.833131922938706e-15,6.298374703090686e-16
10,0.75,0.8557755947113037,2.9597980969097297e-15,8.392180068671478e-16
10,1.0,1.0971386432647705,3.491759043284933e-15,7.458124863462605e-16
20,0.25,0.4946563243865967,1.5252309507537266e-15,1.0420177757984027e-15
20,0.5,0.7139401435852051,1.8506537673269112e-15,5.220120174706406e-16
20,0.75,0.9821381568908691,2.6608235436799508e-15,9.227572695923647e-16
20,1.0,1.233767032623291,2.8342799058787985e-15,6.942871894137703e-16
50,0.25,0.8494205474853516,9.509389390582458e-16,6.08664351546692e-16
50,0.5,1.1960089206695557,1.4334031261264965e-15,5.983071399385244e-16
50,0.75,1.3089003562927246,1.5021075758356438e-15,5.982999917627485e-16
50,1.0,1.5524978637695312,1.7621058515278048e-15,5.3298608228164865e-16
100,0.25,1.4651930332183838,9.09979126940254e-16,9.291015979478653e-16
100,0.5,1.6611418724060059,9.884477801296628e-16,1.0935989794111142e-15
100,0.75,1.95137619972229,1.229564526532247e-15,7.693526598074164e-16
100,1.0,2.1567118167877197,1.4519488325910192e-15,7.694004885311843e-16
