partitions,time,accuracy,orthogonality
2,0.1621701717376709,6.673705939807259e-16,1.4384411894962643e-15
4,0.19717025756835938,1.0764085269395582e-15,9.39080871461601e-16
8,0.3127884864807129,1.133603406315372e-15,1.2111066087874777e-15
12,0.3320164680480957,5.791718034541023e-16,8.380420206320865e-16
20,0.4819157123565674,6.804615438964139e-16,5.184930933342476e-16
40,0.7961304187774658,5.180614120410214e-16,7.307083800958934e-16
120,1.970834493637085,6.959324109152921e-16,1.1138010553798005e-15
