partitions,size,time,accuracy,orthogonality
10,0.25,0.005123138427734375,1.9936607327986367e-15,9.94039087437058e-16
10,0.5,0.0046520233154296875,2.77915635776955e-15,6.673285641705743e-16
10,0.75,0.004234790802001953,3.054416789299483e-15,1.0003745930665734e-15
10,1.0,0.004803657531738281,3.974164437378608e-15,8.614779115512464e-16
20,0.25,0.004683256149291992,1.5254341702939511e-15,7.459394775405653e-16
20,0.5,0.0044476985931396484,1.9798628522884978e-15,8.011253629106814e-16
20,0.75,0.005312442779541016,2.4243934793181336e-15,5.884527207915291e-16
20,1.0,0.005268096923828125,2.753457943523524e-15,7.781310553459946e-16
50,0.25,0.0055408477783203125,9.442364839830502e-16,8.311080324844106e-16
50,0.5,0.006320476531982422,1.3938020132205855e-15,6.083554255045141e-16
50,0.75,0.007887601852416992,1.6377255753886237e-15,6.084791846552947e-16
50,1.0,0.005080461502075195,1.752475973410436e-15,8.814878063765415e-16
100,0.25,0.0063707828521728516,8.437157018642967e-16,5.556337880117588e-16
100,0.5,0.006806373596191406,1.0897992553316788e-15,9.744458551735246e-16
100,0.75,0.010315656661987305,1.2454175441271225e-15,5.553497070921708e-16
100,1.0,0.0069713592529296875,1.3831339948291851e-15,7.693279847728031e-16
