partitions,time,accuracy,orthogonality
2,0.001384735107421875,6.673705939807259e-16,1.4384411894962643e-15
4,0.0008254051208496094,1.0764085269395582e-15,9.39080871461601e-16
8,0.0008828639984130859,1.133603406315372e-15,1.2111066087874777e-15
12,0.0015137195587158203,5.791718034541023e-16,8.380420206320865e-16
20,0.0013582706451416016,6.804615438964139e-16,5.184930933342476e-16
40,0.0011208057403564453,5.180614120410214e-16,7.307083800958934e-16
120,0.0025365352630615234,5.491664272715602e-16,8.000672743324696e-16
