partitions,time,accuracy,orthogonality
2,0.16588282585144043,6.673705939807259e-16,1.4384411894962643e-15
4,0.19211053848266602,1.0764085269395582e-15,9.39080871461601e-16
8,0.24463915824890137,1.133603406315372e-15,1.2111066087874777e-15
12,0.2791280746459961,5.791718034541023e-16,8.380420206320865e-16
20,0.40561509132385254,6.804615438964139e-16,5.184930933342476e-16
40,0.6613140106201172,5.180614120410214e-16,7.307083800958934e-16
120,1.777832269668579,6.959324109152921e-16,1.1138010553798005e-15
