partitions,size,time,accuracy,orthogonality
10,0.25,0.6699388027191162,2.3435681231660777e-15,1.133312639386604e-15
10,0.5,0.8458075523376465,2.4859365528879517e-15,8.393207882451694e-16
10,0.75,1.0958397388458252,2.9536364341061786e-15,1.2712617707091183e-15
10,1.0,1.3120784759521484,3.573256907935026e-15,9.942917472959092e-16
20,0.25,0.5717318058013916,1.5583658057416386e-15,8.750202987906873e-16
20,0.5,0.8223361968994141,2.0822310808727023e-15,4.0087523360375075e-16
20,0.75,1.0649421215057373,2.893523744967365e-15,4.587664880628071e-16
20,1.0,1.462259292602539,2.732640718280514e-15,1.0241390896880827e-15
50,0.25,1.0197882652282715,9.609412248834631e-16,9.090203096377374e-16
50,0.5,1.22053861618042,1.3857203111088224e-15,6.572933216217073e-16
50,0.75,1.544071912765503,1.5136062627800616e-15,6.380615891296438e-16
50,1.0,1.789625883102417,1.6723749933064098e-15,6.087114505743052e-16
100,0.25,1.6891469955444336,7.574381183763106e-16,3.1484591024243256e-16
100,0.5,1.8913438320159912,9.556592349742448e-16,6.846667274263831e-16
100,0.75,2.2488694190979004,1.2590151237024342e-15,8.456612334876906e-16
100,1.0,2.516969680786133,1.320498317205683e-15,6.663111012078551e-16
