partitions,size,time,accuracy,orthogonality
10,0.25,0.4221360683441162,2.3435681231660777e-15,1.133312639386604e-15
10,0.5,0.6129429340362549,2.4859365528879517e-15,8.393207882451694e-16
10,0.75,0.8931496143341064,2.9536364341061786e-15,1.2712617707091183e-15
10,1.0,1.1574034690856934,3.573256907935026e-15,9.942917472959092e-16
20,0.25,0.49869680404663086,1.5583658057416386e-15,8.750202987906873e-16
20,0.5,0.764009952545166,2.0822310808727023e-15,4.0087523360375075e-16
20,0.75,0.9431440830230713,2.893523744967365e-15,4.587664880628071e-16
20,1.0,1.1899476051330566,2.732640718280514e-15,1.0241390896880827e-15
50,0.25,0.9242892265319824,9.609412248834631e-16,9.090203096377374e-16
50,0.5,1.1406874656677246,1.3857203111088224e-15,6.572933216217073e-16
50,0.75,1.3501145839691162,1.5136062627800616e-15,6.380615891296438e-16
50,1.0,1.7714695930480957,1.6723749933064098e-15,6.087114505743052e-16
100,0.25,1.587827205657959,7.574381183763106e-16,3.1484591024243256e-16
100,0.5,1.7478599548339844,9.556592349742448e-16,6.846667274263831e-16
100,0.75,2.1581478118896484,1.2590151237024342e-15,8.456612334876906e-16
100,1.0,2.3049304485321045,1.320498317205683e-15,6.663111012078551e-16
