partitions,time,accuracy,orthogonality
2,0.14447307586669922,6.673705939807259e-16,1.4384411894962643e-15
4,0.1724853515625,1.0764085269395582e-15,9.39080871461601e-16
8,0.20838665962219238,1.133603406315372e-15,1.2111066087874777e-15
12,0.2595255374908447,5.791718034541023e-16,8.380420206320865e-16
20,0.32561612129211426,6.804615438964139e-16,5.184930933342476e-16
40,0.5283617973327637,5.180614120410214e-16,7.307083800958934e-16
120,1.4208850860595703,5.491664272715602e-16,8.000672743324696e-16
