partitions,size,time,accuracy,orthogonality
10,0.25,0.001325845718383789,1.9936607327986367e-15,9.94039087437058e-16
10,0.5,0.0009222030639648438,2.77915635776955e-15,6.673285641705743e-16
10,0.75,0.0010373592376708984,3.054416789299483e-15,1.0003745930665734e-15
10,1.0,0.0010020732879638672,3.974164437378608e-15,8.614779115512464e-16
20,0.25,0.0010120868682861328,1.5254341702939511e-15,7.459394775405653e-16
20,0.5,0.0013740062713623047,1.9798628522884978e-15,8.011253629106814e-16
20,0.75,0.001107931137084961,2.4243934793181336e-15,5.884527207915291e-16
20,1.0,0.0010917186737060547,2.753457943523524e-15,7.781310553459946e-16
50,0.25,0.0013813972473144531,9.442364839830502e-16,8.311080324844106e-16
50,0.5,0.0018849372863769531,1.3938020132205855e-15,6.083554255045141e-16
50,0.75,0.001420736312866211,1.6377255753886237e-15,6.084791846552947e-16
50,1.0,0.0016396045684814453,1.752475973410436e-15,8.814878063765415e-16
100,0.25,0.0017609596252441406,8.437157018642967e-16,5.556337880117588e-16
100,0.5,0.0018267631530761719,1.0897992553316788e-15,9.744458551735246e-16
100,0.75,0.0018367767333984375,1.2454175441271225e-15,5.553497070921708e-16
100,1.0,0.002523183822631836,1.3831339948291851e-15,7.693279847728031e-16
